PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,ContactQuality,PlayResult,OutsonPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Direction,Angle,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,ContactPositionX,ContactPositionY,ContactPositionZ,EffectiveVelo,MaxHeight,MeasuredDuration,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,SpeedDrop
1,10/28/2023,02:32:05 PM,,,"Miller, Jake",681313,Right,INS_LEA8,,,,,,,,,,,Fastball,,,,,,,,,,84.28472,-0.9735629589,-1.031259408,1917.526768,200.5225172,12:45,5.81895,1.21978,4.86304,-24.72361,14.89404,5.58715,2.84561,0.71837,77.80958,-5.544619322,0.005486123606,0.4530183105,,,,,,,,,,,,-3.20783,8.10692,-1.13126,50,5.71417,2.01865,-122.65916,-2.92249,-4.93448,22.05856,-19.70348,,,19510020,,,20231028-19510020-681313,,,,,83.2029,,,,,,
2,10/28/2023,02:33:00 PM,,,"Miller, Jake",681313,Right,INS_LEA8,,,,,,,,,,,Fastball,,,,,,,,,,84.56152,-1.617470698,-1.486309906,1935.829331,187.1059184,12:15,5.87077,1.06168,5.12313,-19.84407,19.5315,2.43855,2.70699,-0.12223,77.26149,-5.321597286,-1.029476524,0.4516321032,,,,,,,,,,,,-1.72075,10.89059,-0.9367,50,5.72035,3.11169,-122.95933,-4.11384,-2.63154,24.62669,-15.51909,,,19510020,,,20231028-19510020-681313,,,,,83.45828,,,,,,
3,10/28/2023,02:33:20 PM,,,"Miller, Jake",681313,Right,INS_LEA8,,,,,,,,,,,Fastball,,,,,,,,,,84.9234,-2.034529284,-2.828327356,1911.066393,198.4963836,12:30,5.89334,0.96628,5.02125,-23.08604,15.70237,5.26367,2.06443,-1.24125,78.69187,-6.298442253,-1.851995178,0.4482521301,,,,,,,,,,,,-3.47368,8.82053,-0.72383,50,5.70079,5.9238,-123.4574,-5.16062,-5.43141,21.56372,-18.38235,,,19510020,,,20231028-19510020-681313,,,,,84.08758,,,,,,
4,10/28/2023,02:33:40 PM,,,"Miller, Jake",681313,Right,INS_LEA8,,,,,,,,,,,Fastball,,,,,,,,,,86.14718,0.01761750834,-0.6933765766,1901.920011,193.2012913,12:30,5.83102,1.06468,5.18738,-21.69192,16.12177,3.78939,4.03978,0.73425,78.57245,-4.04715646,0.0178484299,0.4425841806,,,,,,,,,,,,-2.22564,8.62993,-1.0088,50,5.819,1.39379,-125.35577,-0.66727,-3.53562,25.73004,-18.46464,,,19510020,,,20231028-19510020-681313,,,,,85.16445,,,,,,
5,10/28/2023,02:34:01 PM,,,"Miller, Jake",681313,Right,INS_LEA8,,,,,,,,,,,Fastball,,,,,,,,,,84.35007,-1.111678278,-0.6815362165,1819.71273,178.4701165,12:00,5.96107,1.04372,5.23166,-21.64397,17.76139,-0.47519,3.12205,0.36947,77.01818,-5.164085987,-0.770805983,0.4518029718,,,,,,,,,,,,0.06135,9.84513,-0.98671,50,5.8553,1.47488,-122.7226,-3.06556,0.09336,24.76757,-17.19142,,,19510020,,,20231028-19510020-681313,,,,,83.42672,,,,,,
6,10/28/2023,02:34:25 PM,,,"Miller, Jake",681313,Right,INS_LEA8,,,,,,,,,,,Fastball,,,,,,,,,,84.88829,-2.272453945,-1.250452224,1940.178186,186.4243201,12:15,5.84445,0.97351,5.43403,-22.26234,16.41287,1.85049,1.87965,-0.03242,77.62202,-6.44506345,-0.9015473347,0.4475975847,,,,,,,,,,,,-1.35702,9.5198,-0.87489,50,5.65065,2.63789,-123.44784,-5.58234,-2.0887,25.1636,-17.52133,,,19510020,,,20231028-19510020-681313,,,,,84.21055,,,,,,
7,10/28/2023,02:34:47 PM,,,"Miller, Jake",681313,Right,INS_LEA8,,,,,,,,,,,Fastball,,,,,,,,,,84.51616,-0.3736534871,-0.7777113072,1868.027254,192.951903,12:30,5.8441,1.07346,5.28053,-23.7906,15.41531,3.55298,3.51391,0.64598,77.05621,-4.838687669,-0.1092159354,0.4506581339,,,,,,,,,,,,-2.1337,8.39489,-1.01152,50,5.79906,1.55795,-122.98172,-1.54842,-3.25701,25.14137,-19.35961,,,19510020,,,20231028-19510020-681313,,,,,83.63865,,,,,,
8,10/28/2023,02:35:23 PM,,,"Miller, Jake",681313,Right,INS_LEA8,,,,,,,,,,,Fastball,,,,,,,,,,86.76218,-2.173794711,-2.579305034,1896.770576,189.9277251,12:15,5.82524,0.96501,5.14181,-22.28391,15.00044,2.6309,1.93765,-1.22317,79.74711,-6.315001864,-2.088053058,0.4394754987,,,,,,,,,,,,-2.09347,8.59106,-0.74784,50,5.62647,5.59258,-126.0824,-5.52888,-3.38301,24.70046,-18.29108,,,19510020,,,20231028-19510020-681313,,,,,85.76687,,,,,,
9,10/28/2023,02:35:40 PM,,,"Miller, Jake",681313,Right,INS_LEA8,,,,,,,,,,,Fastball,,,,,,,,,,85.31038,-1.83639776,-0.6091344108,1761.648491,184.8090626,12:15,5.64375,1.00293,5.30372,-21.46279,16.78075,1.41379,2.14683,0.55429,78.38066,-5.843272947,-0.3439152811,0.4450926251,,,,,,,,,,,,-0.92249,9.50564,-0.95385,50,5.48035,1.27505,-124.14497,-4.66116,-1.4448,24.02112,-17.2863,,,19510020,,,20231028-19510020-681313,,,,,84.68448,,,,,,
10,10/28/2023,02:51:28 PM,,,"Webb, Ryan",669067,Left,GUA_MIN,,,,,,,,,,,Fastball,,,,,,,,,,86.06721,-0.5487353303,2.663317047,2018.290051,151.4566094,11:00,5.84269,-1.56173,5.20541,-22.55881,15.18981,-8.28598,3.45101,0.23076,78.92042,-4.76149984,1.113579503,0.4422032617,,,,,,,,,,,,5.14565,8.27638,1.34385,50,5.78272,-5.55258,-125.16079,-1.93386,8.19434,24.3351,-18.99409,,,19510020,,,20231028-19510020-681313,,,,,85.23781,,,,,,
